,index,SK_ID_CURR,TARGET,EXT_SOURCE_2,EXT_SOURCE_3,EXT_SOURCE_1,INSTAL_DPD_MEAN,DAYS_EMPLOYED_PERC,AMT_ANNUITY,DAYS_EMPLOYED,PAYMENT_RATE,ACTIVE_DAYS_CREDIT_MAX,APPROVED_CNT_PAYMENT_MEAN,ANNUITY_INCOME_PERC,PREV_CNT_PAYMENT_MEAN,DAYS_BIRTH,CLOSED_DAYS_CREDIT_MAX,POS_MONTHS_BALANCE_SIZE,AMT_CREDIT,AMT_GOODS_PRICE,OWN_CAR_AGE,INSTAL_DAYS_ENTRY_PAYMENT_MAX,POS_SK_DPD_DEF_MAX,PREV_APP_CREDIT_PERC_MEAN,APPROVED_AMT_CREDIT_MIN,BURO_AMT_CREDIT_SUM_DEBT_MEAN,APPROVED_AMT_ANNUITY_MEAN,DAYS_ID_PUBLISH,INSTAL_PAYMENT_PERC_SUM,BURO_CREDIT_TYPE_Microloan_MEAN,INSTAL_AMT_PAYMENT_SUM,NAME_FAMILY_STATUS_Married,ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,INSTAL_PAYMENT_DIFF_SUM,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,REGION_RATING_CLIENT_W_CITY,ACTIVE_AMT_CREDIT_SUM_MEAN,POS_MONTHS_BALANCE_MEAN,INSTAL_AMT_INSTALMENT_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,CC_CNT_DRAWINGS_CURRENT_MEAN,PREV_NAME_TYPE_SUITE_nan_MEAN,INSTAL_AMT_INSTALMENT_SUM,INSTAL_COUNT,FLAG_DOCUMENT_3,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,FLAG_DOCUMENT_18,CODE_GENDER,DEF_30_CNT_SOCIAL_CIRCLE,CC_AMT_RECIVABLE_MIN,BURO_DAYS_CREDIT_ENDDATE_MEAN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_MEAN,CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,CC_AMT_RECEIVABLE_PRINCIPAL_VAR,CC_AMT_RECIVABLE_VAR,INSTAL_DBD_MAX,CC_CNT_DRAWINGS_CURRENT_MAX,CC_CNT_DRAWINGS_CURRENT_VAR,CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,CLOSED_AMT_CREDIT_SUM_MAX,CLOSED_DAYS_CREDIT_MIN,CLOSED_DAYS_CREDIT_VAR,CLOSED_MONTHS_BALANCE_MAX_MAX,INSTAL_DAYS_ENTRY_PAYMENT_SUM,INSTAL_DBD_MEAN,PREV_DAYS_DECISION_MIN,PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_NAME_PORTFOLIO_Cards_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,PREV_NAME_YIELD_GROUP_low_action_MEAN,PREV_CODE_REJECT_REASON_LIMIT_MEAN,REFUSED_AMT_ANNUITY_MIN,REFUSED_DAYS_DECISION_MAX,REGION_POPULATION_RELATIVE,REG_CITY_NOT_LIVE_CITY,TOTALAREA_MODE,YEARS_BEGINEXPLUATATION_AVG,PREV_DAYS_DECISION_MEAN,INSTAL_DBD_SUM,INSTAL_PAYMENT_PERC_MEAN,LIVINGAPARTMENTS_MODE,LIVINGAREA_MEDI,NONLIVINGAREA_MODE,POS_MONTHS_BALANCE_MAX,PREV_AMT_ANNUITY_MAX,PREV_AMT_ANNUITY_MEAN,PREV_AMT_CREDIT_MAX,PREV_AMT_GOODS_PRICE_MEAN,PREV_APP_CREDIT_PERC_MAX,PREV_APP_CREDIT_PERC_MIN,BURO_CREDIT_TYPE_Mortgage_MEAN,YEARS_BUILD_MODE,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,APPROVED_HOUR_APPR_PROCESS_START_MEAN,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,APARTMENTS_AVG,ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,ACTIVE_AMT_CREDIT_SUM_MAX,APPROVED_AMT_GOODS_PRICE_MEAN,BURO_AMT_CREDIT_SUM_DEBT_SUM,BURO_AMT_CREDIT_SUM_SUM,BURO_AMT_CREDIT_SUM_MEAN,APPROVED_AMT_APPLICATION_MAX,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,APPROVED_CNT_PAYMENT_SUM,BURO_CREDIT_ACTIVE_Closed_MEAN,APPROVED_DAYS_DECISION_MAX,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,ACTIVE_DAYS_CREDIT_MEAN,APPROVED_AMT_ANNUITY_MAX,ACTIVE_AMT_CREDIT_SUM_DEBT_SUM
0,259225,400001,0.0,0.5599086887491507,0.6127042441012546,,0.7222222222222222,0.333616093068347,7924.5,-5506.0,0.0519009725906277,-181.0,16.5,0.0587,16.5,-16504,-203.0,15.0,152685.0,103500.0,,-20.0,1.0,0.9250809077558314,41287.5,18868.1175,14909.715,-44,37.26830753341337,0.0,832147.245,1,79303.5,-28714.72500000001,6394.365,2,1409649.0,-16.466666666666665,257850.0,2921.0,1.0,1.3333333333333333,0.625,803432.52,36.0,1,-312.1388888888889,0,1,0.0,9036.855,469.4285714285714,-181.0,-1223.25,190500.0,2286000.0,271350.0,13976638463.471746,14569898810.962437,20.0,6.0,4.242424242424243,50877.0,4185000.0,-2617.0,963523.7,0.0,-11237.0,5.638888888888889,-1698.0,0.0,0.0,0.125,0.0,0.0,0.0,,,0.025164,0,0.0143,0.9727,-584.75,203.0,1.035230764817038,0.0202,0.0171,0.0086,-1.0,22659.66,14909.715,568057.5,206995.5,1.0,0.8080167940745435,0.25,0.6406,-207.0,1526.0,9.5,0.0,0.0227,56604.3525,4102947.0,249429.375,113208.705,8620555.5,1077569.4375,459000.0,0.375,16959.0,66.0,0.625,-148.0,0.0,131.0,-1255.0,22659.66,113208.705
1,259226,400002,0.0,0.5197489645564622,0.4614823912998385,,0.0,,33543.0,,0.0323826487390577,-88.0,15.5,0.3240869565217391,16.75,-23148,-295.0,42.0,1035832.5,904500.0,,-88.0,0.0,0.96260400962823,19782.0,58813.875,15191.471250000002,-4770,45.68053925815477,0.0,1333503.135,1,235255.5,-12492.18,0.0,3,234753.75,-30.357142857142858,413815.275,9134.0,,,0.4444444444444444,1321010.955,40.0,1,-889.825,0,0,0.0,,309.09090909090907,-88.0,-1221.6153846153843,,,,,,31.0,,,0.0,360000.0,-2459.0,702435.2777777778,,-35593.0,18.925,-1767.0,0.0,0.3333333333333333,0.0,0.5555555555555556,0.0,0.0,10589.85,-362.0,0.020246,0,0.1014,0.9896,-681.0,757.0,1.1420134814538694,0.1047,0.122,0.0,-3.0,38537.91,14172.598125,855067.5,210189.375,1.0991390225373512,0.8782715615668365,0.0,0.8628,-19.5,2579.25,8.25,0.0,0.1175,235255.5,515340.0,240378.75,235255.5,1900067.85,146159.0653846154,787500.0,0.3076923076923077,0.0,62.0,0.6923076923076923,-633.0,0.0,84.0,-1543.75,38537.91,235255.5
2,259227,400003,0.0,0.4258637259845259,0.8004513396487078,,0.4615384615384615,0.1608923161663453,17779.5,-2921.0,0.1057661419852232,,12.0,0.1717826086956521,12.0,-18155,-1255.0,36.0,168102.0,148500.0,,-32.0,4.0,0.9497231884392706,45000.0,0.0,12799.11375,-1675,35.0,0.0,563999.76,1,,51989.22,,2,,-22.33333333333333,23200.2,,,0.0,0.0,615988.98,39.0,1,-671.1025641025641,0,1,0.0,0.0,-1237.0,-1255.0,-1676.0,225000.0,2475000.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,116640.0,-1952.0,137221.0,0.0,-26173.0,11.256410256410255,-1295.0,0.0,0.0,0.25,0.0,0.0,0.0,,,0.010147,0,,,-723.75,439.0,0.8974358974358975,,,,-1.0,23200.2,12799.11375,432990.0,172125.0,1.011020119300374,0.8833922261484098,0.0,,,,13.5,0.0,,,,172125.0,0.0,252945.0,84315.0,382500.0,0.0,0.0,48.0,1.0,-360.0,,,,23200.2,
3,259228,400005,0.0,0.2563991885360997,0.3842068130556564,,0.17,0.0200506329113924,13045.5,-396.0,0.05798,-300.0,24.0,0.2760952380952381,8.0,-19750,,14.0,225000.0,225000.0,,-8.0,0.0,0.1090750436300174,67500.0,62064.0,6615.3150000000005,-3310,100.0,0.0,651672.81,1,62064.0,0.0,0.0,2,67500.0,-66.35714285714286,13500.0,1033.0,0.6896551724137931,0.6896551724137931,0.8571428571428571,651672.81,100.0,1,-1398.99,0,0,1.0,92505.24,1033.0,-300.0,-300.0,135000.0,11745000.0,13500.0,123545057.9132976,136887721.98018843,18.0,6.0,1.6118684843624695,,,,,,-139899.0,5.07,-2804.0,0.0,0.5714285714285714,0.7142857142857143,0.0,0.0,0.0,6750.0,-2708.0,0.019101,0,,,-2019.428571428572,507.0,1.0,,,,-2.0,6750.0,6705.105,171900.0,112500.0,0.6544502617801047,0.0,0.0,,-52.0,1033.0,13.0,0.0,,62064.0,67500.0,112500.0,62064.0,67500.0,67500.0,112500.0,1.0,,48.0,0.0,-139.0,,1033.0,-300.0,6750.0,62064.0
4,259229,400006,0.0,0.6933765221573932,0.3539876078507373,0.6593467942193807,0.0909090909090909,0.2842401500938086,25078.5,-3030.0,0.0483616231038911,-55.0,12.0,0.0696625,12.0,-10660,-796.0,11.0,518562.0,463500.0,,-17.0,0.0,0.9380863039399624,191880.0,88792.96153846153,20360.385,-3334,11.0,0.0,223964.235,1,881113.5,0.0,45493.2675,2,353104.5,-6.0,20360.385,3436.0,,,0.5,223964.235,11.0,1,-167.27272727272728,0,1,0.0,,-628.4117647058823,-55.0,-1384.842105263158,,,,,,2.0,,,4831.605,652500.0,-2718.0,380948.7564102565,,-1840.0,0.3636363636363636,-347.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.030755,0,,,-347.0,4.0,1.0,,,,-1.0,20360.385,20360.385,191880.0,180000.0,0.9380863039399624,0.9380863039399624,0.0,,-60.66666666666666,1606.75,13.0,0.0,,288577.125,947367.0,180000.0,1154308.5,3726562.95,196134.8921052632,180000.0,0.3157894736842105,4930.095,12.0,0.6842105263157895,-347.0,5127.075,848.0,-577.1666666666666,20360.385,1154308.5
5,259230,400007,0.0,0.5773127951379281,,,0.2142857142857142,0.1887439945092656,15358.5,-1650.0,0.0609464285714285,,12.0,0.1137666666666666,12.0,-8742,,29.0,252000.0,252000.0,10.0,-27.0,0.0,0.959230725431556,66420.0,,23383.92,-415,27.0,,757485.0,1,,37401.93,,2,,-15.03448275862069,37401.93,,,,0.6666666666666666,794886.93,28.0,1,-411.8571428571428,0,1,1.0,,,,,,,,,,30.0,,,,,,,,-11532.0,6.071428571428571,-872.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,,,0.026392,0,0.3806,0.9836,-646.6666666666666,170.0,0.9642857142857144,,0.3737,0.0066,-2.0,37401.93,23383.92,534204.0,220467.0,1.055420054200542,0.8956598166827104,,,,,14.0,,0.4124,,,220467.0,,,,495000.0,,,36.0,,-478.0,,,,37401.93,
6,259231,400008,0.0,0.5330883087099235,0.5334816299804352,,14.4,0.1599267675407894,25519.5,-2970.0,0.0979109116022099,-280.0,7.333333333333333,0.1181458333333333,7.333333333333333,-18571,-617.0,25.0,260640.0,225000.0,,-1408.0,0.0,1.0328926665187266,22054.5,22748.113125,4681.62,-1753,16.0,0.0,78005.70000000001,1,100548.0,20279.52,0.0,2,123231.0,-60.16,5078.52,651.0,,,0.3333333333333333,98285.22,20.0,1,-1848.0,0,1,0.0,,-968.5714285714286,-280.0,-1252.75,,,,,,14.0,,,0.0,50085.0,-2919.0,967895.8,0.0,-36960.0,4.8,-2215.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00702,0,,,-1270.0,96.0,0.8,,,,-46.0,5078.52,4681.62,37507.5,28287.0,1.0548867578045298,1.0,0.0,,-363.6666666666667,398.5,14.0,0.0,,60661.635,243693.0,28287.0,181984.905,560895.795,70111.974375,39150.0,0.375,0.0,22.0,0.625,-18.0,,146.0,-661.3333333333334,5078.52,181984.905
7,259232,400009,0.0,0.6019534089554641,0.3689687382528466,,0.5277777777777778,0.1229194920478362,28849.5,-1994.0,0.0512888206211299,-238.0,18.8,0.25644,18.5,-16222,-805.0,72.0,562491.0,454500.0,,-67.0,0.0,0.8642107689447014,38425.5,38763.642857142855,11992.356,-4323,66.0,0.0,638146.035,0,134676.0,58011.030000000006,0.0,2,115306.5,-29.55555555555556,25028.235,865.0,,,0.4,696157.065,72.0,1,-802.7361111111111,0,1,0.0,,-738.5714285714286,-238.0,-1451.142857142857,,,,,,32.0,,,3170.385,261450.0,-2391.0,493478.3333333333,0.0,-57797.0,3.9722222222222223,-2044.0,0.0,0.4,0.0,0.5,0.0,0.2,12224.115,-266.0,0.00712,0,0.0397,0.9732,-1208.7,286.0,0.9166666666666666,0.0588,0.0309,0.0147,-2.0,23746.95,12463.81875,446035.5,123920.0,1.0048014990045673,0.7378803158127751,0.0,0.6472,-204.3333333333333,-391.3333333333333,13.6,0.0,0.066,90448.5,175500.0,148833.0,271345.5,725584.5,103654.92857142857,382500.0,0.4285714285714285,2113.59,94.0,0.5714285714285714,-537.0,0.0,-2532.0,-1445.3333333333333,23746.95,271345.5
8,259233,400010,1.0,0.1350698902428683,0.4276573700350293,0.5899154220889201,0.2871287128712871,,23121.0,,0.0361220472440944,-133.0,22.0,0.1070416666666666,22.0,-20234,-1063.0,55.0,640080.0,450000.0,,-22.0,0.0,0.7112039886267827,52456.5,20737.5,13625.613,-3378,99.0,0.0,1061985.555,1,62212.5,33340.14,0.0,2,67500.0,-21.63636363636364,71533.035,1054.0,0.1052631578947368,0.15,0.5714285714285714,1095325.695,101.0,1,-625.5247524752475,0,1,0.0,0.0,307.3333333333333,-133.0,-1062.6666666666667,67500.0,2700000.0,71647.065,352153807.1040254,388657796.98079073,30.0,4.0,0.4384615384615385,,494550.0,-1992.0,431520.5,0.0,-63178.0,7.01980198019802,-1424.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,,,0.018634,0,,,-783.4285714285714,709.0,0.9801980198019802,,,,-2.0,29603.205,13625.613,578979.0,259801.875,0.9380629664579224,0.0,0.0,,-33.0,1054.0,10.4,0.0,,62212.5,67500.0,259801.875,62212.5,652050.0,217350.0,517500.0,0.3333333333333333,,110.0,0.6666666666666666,-326.0,,1054.0,-133.0,29603.205,62212.5
9,259234,400012,0.0,0.4522956898184999,0.4543210601605785,,0.5833333333333334,,20623.5,,0.051380651815644,-327.0,14.8,0.114575,17.142857142857142,-22480,-565.0,69.0,401386.5,346500.0,,-27.0,1.0,0.9959048145371536,33831.0,41378.25,9271.098,-4827,68.19221833273681,0.0,657144.6749999999,0,248269.5,75949.51500000001,0.0,2,172721.25,-25.71014492753623,88140.465,1256.0,,,0.5555555555555556,733094.19,72.0,1,-769.7361111111111,0,1,0.0,,-934.375,-327.0,-1642.5,,,,,,50.0,,,3047.175,675000.0,-2437.0,462017.2,,-55421.0,16.333333333333332,-1779.0,0.0,0.3333333333333333,0.0,0.4444444444444444,0.0,0.2222222222222222,10690.65,-452.0,0.018634,0,0.0618,0.9767,-835.4444444444445,1176.0,0.9471141435102336,,0.0735,,-2.0,15350.355,10342.356428571427,319068.0,115549.0425,1.111139264441713,0.8603181766896085,0.0,,-281.5,-619.0,13.0,0.0,0.1546,124134.75,283500.0,90144.468,248269.5,1513584.0,189198.0,135000.0,0.25,3047.175,74.0,0.75,-558.0,,-2494.0,-1503.0,14044.95,248269.5
