,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
259225,400001,0,Cash loans,F,N,Y,1,135000.0,152685.0,7924.5,103500.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.025164,-16504,-5506,-2522.0,-44,,1,1,0,1,0,0,,3.0,2,2,WEDNESDAY,13,0,0,0,0,0,0,Transport: type 2,,0.5599086887491507,0.6127042441012546,0.0227,0.0,0.9727,0.626,0.002,0.0,0.069,0.0833,0.125,0.0711,0.0185,0.0168,0.0039,0.0081,0.0231,0.0,0.9727,0.6406,0.002,0.0,0.069,0.0833,0.125,0.0727,0.0202,0.0175,0.0039,0.0086,0.0229,0.0,0.9727,0.631,0.002,0.0,0.069,0.0833,0.125,0.0724,0.0188,0.0171,0.0039,0.0083,reg oper account,block of flats,0.0143,"Stone, brick",No,2.0,0.0,2.0,0.0,-544.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
259226,400002,0,Cash loans,M,N,Y,0,103500.0,1035832.5,33543.0,904500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.020246,-23148,365243,-2489.0,-4770,,1,0,0,1,0,0,,2.0,3,3,FRIDAY,8,0,0,0,0,0,0,XNA,,0.5197489645564622,0.4614823912998385,0.1175,0.1639999999999999,0.9896,0.8572,0.0839,0.0,0.2759,0.1667,0.2083,0.088,0.0958,0.1199,0.0,0.0,0.1197,0.1701,0.9896,0.8628,0.0847,0.0,0.2759,0.1667,0.2083,0.09,0.1047,0.1249,0.0,0.0,0.1187,0.1639999999999999,0.9896,0.8591,0.0845,0.0,0.2759,0.1667,0.2083,0.0895,0.0975,0.122,0.0,0.0,reg oper account,block of flats,0.1014,"Stone, brick",No,3.0,0.0,3.0,0.0,-1521.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
259227,400003,0,Cash loans,F,N,Y,0,103500.0,168102.0,17779.5,148500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010147,-18155,-2921,-2438.0,-1675,,1,1,0,1,0,0,Sales staff,2.0,2,2,SATURDAY,10,0,0,0,0,0,0,Self-employed,,0.4258637259845259,0.8004513396487078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1295.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
259228,400005,0,Cash loans,M,N,Y,0,47250.0,225000.0,13045.5,225000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.019101,-19750,-396,-4705.0,-3310,,1,1,1,1,1,0,Security staff,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,School,,0.2563991885360997,0.3842068130556564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
259229,400006,0,Cash loans,F,N,Y,0,360000.0,518562.0,25078.5,463500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.030755,-10660,-3030,-616.0,-3334,,1,1,0,1,1,0,Accountants,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,Business Entity Type 2,0.6593467942193807,0.6933765221573932,0.3539876078507373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,-2641.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
259230,400007,0,Cash loans,F,Y,Y,1,135000.0,252000.0,15358.5,252000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-8742,-1650,-387.0,-415,10.0,1,1,0,1,1,0,Private service staff,3.0,2,2,FRIDAY,10,0,0,0,0,0,0,Self-employed,,0.5773127951379281,,0.4124,0.4257,0.9836,,,0.0,0.931,0.1667,,0.6596,,0.3671,,0.0062,0.4202,0.4418,0.9836,,,0.0,0.931,0.1667,,0.6746,,0.3824,,0.0066,0.4164,0.4257,0.9836,,,0.0,0.931,0.1667,,0.6709999999999999,,0.3737,,0.0063,,block of flats,0.3806,Panel,No,1.0,1.0,1.0,1.0,-872.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
259231,400008,0,Cash loans,F,N,Y,0,216000.0,260640.0,25519.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00702,-18571,-2970,-5750.0,-1753,,1,1,0,1,0,0,Medicine staff,2.0,2,2,SATURDAY,11,0,0,0,0,1,1,Medicine,,0.5330883087099235,0.5334816299804352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-2215.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
259232,400009,0,Cash loans,F,N,Y,0,112500.0,562491.0,28849.5,454500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.00712,-16222,-1994,-8469.0,-4323,,1,1,0,1,0,0,Laborers,1.0,2,2,MONDAY,14,0,0,0,0,0,0,School,,0.6019534089554641,0.3689687382528466,0.066,0.0812,0.9732,0.6328,,0.0,0.1379,0.125,,0.04,0.0538,0.0304,,0.0139,0.0672,0.0842,0.9732,0.6472,,0.0,0.1379,0.125,,0.0409,0.0588,0.0316,,0.0147,0.0666,0.0812,0.9732,0.6377,,0.0,0.1379,0.125,,0.0407,0.0547,0.0309,,0.0142,,block of flats,0.0397,"Stone, brick",No,11.0,0.0,11.0,0.0,-1480.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
259233,400010,1,Cash loans,F,N,Y,0,216000.0,640080.0,23121.0,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-20234,365243,-5500.0,-3378,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,10,0,0,0,0,0,0,XNA,0.5899154220889201,0.1350698902428683,0.4276573700350293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1424.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
259234,400012,0,Cash loans,F,N,Y,0,180000.0,401386.5,20623.5,346500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.018634,-22480,365243,-1639.0,-4827,,1,0,0,1,0,0,,1.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,XNA,,0.4522956898184999,0.4543210601605785,0.1546,,0.9767,,,,0.069,0.1667,,0.0125,,0.0722,,,0.1576,,0.9767,,,,0.069,0.1667,,0.0128,,0.0752,,,0.1561,,0.9767,,,,0.069,0.1667,,0.0127,,0.0735,,,,block of flats,0.0618,"Stone, brick",No,3.0,0.0,3.0,0.0,-1779.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
